transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
2604,1660857656326694325,6330,1660857656311824982,-14.869343,14.869343,1
2605,1660857656427554444,6333,1660857656434042174,6.48773,6.48773,1
2606,1660857656528414324,6335,1660857656515522430,-12.891894,12.891894,1
2607,1660857656629274443,6338,1660857656637736918,8.462475,8.462475,1
2608,1660857656730134324,6340,1660857656719211302,-10.923022,10.923022,1
2609,1660857656830994442,6343,1660857656833086777,2.092335,2.092335,1
2610,1660857656931854323,6346,1660857656946974764,15.120441,15.120441,1
2611,1660857657032658413,6348,1660857657028450666,-4.207747,4.207747,1
2612,1660857657133518294,6351,1660857657150654986,17.136692,17.136692,1
2613,1660857657234378412,6353,1660857657223792980,-10.585432,10.585432,1
2614,1660857657335238293,6355,1660857657346011844,10.773551,10.773551,1
2615,1660857657436098412,6357,1660857657427477716,-8.620696,8.620696,1
2616,1660857657536958293,6360,1660857657549694108,12.735815,12.735815,1
2617,1660857657637818411,6362,1660857657631160908,-6.657503,6.657503,1
2618,1660857657738678292,6365,1660857657753384108,14.705816,14.705816,1
2619,1660857657839537456,6367,1660857657834850812,-4.686644,4.686644,1
2620,1660857657940397337,6370,1660857657957067140,16.669803,16.669803,1
2621,1660857658041200474,6372,1660857658038535916,-2.664558,2.664558,1
2622,1660857658142060354,6374,1660857658128355666,-13.704688,13.704688,1
2623,1660857658242920473,6377,1660857658258894713,15.97424,15.97424,1
2624,1660857658343780354,6379,1660857658332041412,-11.738942,11.738942,1
2625,1660857658444640473,6382,1660857658454301276,9.660803,9.660803,1
2626,1660857658545500353,6384,1660857658544080809,-1.419544,1.419544,1
2627,1660857658646360472,6386,1660857658625525161,-20.835311,20.835311,0
2628,1660857658747220352,6389,1660857658747741681,0.521329,0.521329,1
2629,1660857658848080471,6391,1660857658829212161,-18.86831,18.86831,1
2630,1660857658948940352,6394,1660857658951426097,2.485745,2.485745,1
2631,1660857659049744443,6396,1660857659032901937,-16.842506,16.842506,1
2632,1660857659150604323,6399,1660857659155121841,4.517518,4.517518,1
2633,1660857659251464441,6401,1660857659236586969,-14.877472,14.877472,1
2634,1660857659352324322,6403,1660857659358831257,6.506935,6.506935,1
2635,1660857659453184441,6405,1660857659440282417,-12.902024,12.902024,1
2636,1660857659554044322,6408,1660857659562489417,8.445095,8.445095,1
2637,1660857659654904440,6410,1660857659635643468,-19.260972,19.260972,1
2638,1660857659755764321,6413,1660857659757854666,2.090345,2.090345,1
2639,1660857659856623485,6415,1660857659839330212,-17.293273,17.293273,1
2640,1660857659957483366,6418,1660857659961542370,4.059004,4.059004,1
2641,1660857660058285311,6420,1660857660043007698,-15.277613,15.277613,1
2642,1660857660159145430,6423,1660857660165234954,6.089524,6.089524,1
2643,1660857660260005311,6426,1660857660279102396,19.097085,19.097085,1
2644,1660857660360865429,6428,1660857660360579948,-0.285481,0.285481,1
2645,1660857660461725310,6430,1660857660442051620,-19.67369,19.67369,1
2646,1660857660562585428,6433,1660857660564265172,1.679744,1.679744,1
2647,1660857660663445309,6435,1660857660645730132,-17.715177,17.715177,1
2648,1660857660764305428,6438,1660857660767947300,3.641872,3.641872,1
2649,1660857660865165309,6440,1660857660849428012,-15.737297,15.737297,1
2650,1660857660966025427,6443,1660857660971640172,5.614745,5.614745,1
2651,1660857661066830471,6445,1660857661053121460,-13.709011,13.709011,1
2652,1660857661167690352,6447,1660857661183658178,15.967826,15.967826,1
2653,1660857661268550471,6449,1660857661265139114,-3.411357,3.411357,1
2654,1660857661369410351,6452,1660857661387358178,17.947827,17.947827,1
2655,1660857661470270470,6454,1660857661468823380,-1.44709,1.44709,1
2656,1660857661571130350,6456,1660857661558622905,-12.507445,12.507445,1
2657,1660857661671990469,6459,1660857661680837609,8.84714,8.84714,1
2658,1660857661772850350,6461,1660857661762317841,-10.532509,10.532509,1
2659,1660857661873709276,6464,1660857661892852334,19.143058,19.143058,1
2660,1660857661974569395,6466,1660857661974332334,-0.237061,0.237061,1
2661,1660857662075373486,6468,1660857662055811206,-19.56228,19.56228,1
2662,1660857662176233366,6471,1660857662178032622,1.799256,1.799256,1
2663,1660857662277093485,6473,1660857662259498814,-17.594671,17.594671,1
2664,1660857662377953365,6476,1660857662373379681,-4.573684,4.573684,1
2665,1660857662478813484,6479,1660857662495599465,16.785981,16.785981,1
2666,1660857662579673365,6481,1660857662577078193,-2.595172,2.595172,1
2667,1660857662680533484,6484,1660857662699279129,18.745645,18.745645,1
2668,1660857662781393364,6486,1660857662780769713,-0.623651,0.623651,1
2669,1660857662882253483,6489,1660857662894634412,12.380929,12.380929,1
2670,1660857662983113363,6491,1660857662976114796,-6.998567,6.998567,1
2671,1660857663083916262,6492,1660857663065907001,-18.009261,18.009261,1
2672,1660857663184776381,6495,1660857663188119481,3.3431,3.3431,1
2673,1660857663285636262,6497,1660857663269597809,-16.038453,16.038453,1
2674,1660857663386496380,6500,1660857663391808705,5.312325,5.312325,1
2675,1660857663487356261,6502,1660857663473280873,-14.075388,14.075388,1
2676,1660857663588216379,6505,1660857663595501289,7.28491,7.28491,1
2677,1660857663689076260,6507,1660857663676978225,-12.098035,12.098035,1
2678,1660857663789936379,6510,1660857663790874116,0.937737,0.937737,1
2679,1660857663890795306,6512,1660857663872331348,-18.463958,18.463958,1
2680,1660857663991655424,6515,1660857664002878617,11.223193,11.223193,1
2681,1660857664092468336,6517,1660857664084505521,-7.962815,7.962815,1
2682,1660857664193328455,6520,1660857664206573065,13.24461,13.24461,1
2683,1660857664294188336,6522,1660857664288033097,-6.155239,6.155239,1
2684,1660857664395048454,6525,1660857664410250097,15.201643,15.201643,1
2685,1660857664495908335,6527,1660857664491768585,-4.13975,4.13975,1
2686,1660857664596768454,6530,1660857664605597540,8.829086,8.829086,1
2687,1660857664697628334,6532,1660857664687070348,-10.557986,10.557986,1
2688,1660857664798488453,6534,1660857664817628577,19.140124,19.140124,1
2689,1660857664899348334,6536,1660857664899093609,-0.254725,0.254725,1
2690,1660857665000208452,6538,1660857664980584129,-19.624323,19.624323,1
2691,1660857665101003483,6541,1660857665102778257,1.774774,1.774774,1
2692,1660857665201863363,6543,1660857665184259841,-17.603522,17.603522,1
2693,1660857665302723482,6546,1660857665306475969,3.752487,3.752487,1
2694,1660857665403583363,6548,1660857665387948001,-15.635362,15.635362,1
2695,1660857665504443482,6551,1660857665510178129,5.734647,5.734647,1
2696,1660857665605303362,6554,1660857665624041732,18.73837,18.73837,1
2697,1660857665706163481,6556,1660857665705578764,-0.584717,0.584717,1
2698,1660857665807023361,6558,1660857665795365777,-11.657584,11.657584,1
2699,1660857665907882288,6561,1660857665917588681,9.706393,9.706393,1
2700,1660857666008685425,6563,1660857665999003617,-9.681808,9.681808,1
2701,1660857666109545306,6566,1660857666121219065,11.673759,11.673759,1
2702,1660857666210405424,6568,1660857666202692193,-7.713231,7.713231,1
2703,1660857666311265305,6571,1660857666324904681,13.639376,13.639376,1
2704,1660857666412125424,6573,1660857666406372001,-5.753423,5.753423,1
2705,1660857666512985304,6576,1660857666528593873,15.608569,15.608569,1
2706,1660857666613845423,6578,1660857666642471508,28.626085,28.626085,0
2707,1660857666714705304,6580,1660857666723943700,9.238396,9.238396,1
2708,1660857666815565422,6582,1660857666805433628,-10.131794,10.131794,1
2709,1660857666916425303,6585,1660857666935977865,19.552562,19.552562,1
2710,1660857667017229394,6587,1660857667017451481,0.222087,0.222087,1
2711,1660857667118089274,6589,1660857667098919713,-19.169561,19.169561,1
2712,1660857667218949392,6592,1660857667221127649,2.178257,2.178257,1
2713,1660857667319809273,6594,1660857667302606513,-17.20276,17.20276,1
2714,1660857667420669392,6597,1660857667424815777,4.146385,4.146385,1
2715,1660857667521529273,6599,1660857667506290681,-15.238592,15.238592,1
2716,1660857667622389391,6602,1660857667628503257,6.113866,6.113866,1
2717,1660857667723249272,6604,1660857667709970809,-13.278463,13.278463,1
2718,1660857667824109390,6607,1660857667832190937,8.081547,8.081547,1
2719,1660857667924968317,6609,1660857667913669681,-11.298636,11.298636,1
2720,1660857668025772408,6612,1660857668035894417,10.122009,10.122009,1
2721,1660857668126632288,6614,1660857668117357001,-9.275287,9.275287,1
2722,1660857668227492407,6617,1660857668239612001,12.119594,12.119594,1
2723,1660857668328349978,6619,1660857668321040257,-7.309721,7.309721,1
2724,1660857668429212406,6622,1660857668443265161,14.052755,14.052755,1
2725,1660857668530072287,6624,1660857668524735809,-5.336478,5.336478,1
2726,1660857668630932406,6626,1660857668646940513,16.008107,16.008107,1
2727,1660857668731792287,6628,1660857668728410641,-3.381646,3.381646,1
2728,1660857668832652405,6631,1660857668850626577,17.974172,17.974172,1
2729,1660857668933512286,6633,1660857668932097649,-1.414637,1.414637,1
2730,1660857669034315422,6636,1660857669054318745,20.003323,20.003323,0
2731,1660857669135175303,6638,1660857669135790649,0.615346,0.615346,1
2732,1660857669236035422,6640,1660857669217291777,-18.743645,18.743645,1
2733,1660857669336895302,6643,1660857669339473745,2.578443,2.578443,1
2734,1660857669437755421,6645,1660857669420973809,-16.781612,16.781612,1
2735,1660857669538615302,6648,1660857669543189065,4.573763,4.573763,1
2736,1660857669639475420,6650,1660857669624640617,-14.834803,14.834803,1
2737,1660857669740335301,6653,1660857669746855097,6.519796,6.519796,1
2738,1660857669841195419,6655,1660857669828322809,-12.87261,12.87261,1
2739,1660857669942054346,6658,1660857669942215284,0.160938,0.160938,1
