lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857409.637089968,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.737950087,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.838809967,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857409.939670086,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.040473938,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.141334057,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.242193937,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.343054056,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.443913937,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.544774055,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.645633936,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.746493101,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.847352982,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857410.948213100,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.049017906,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.149878025,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.250737906,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.351598024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.452457905,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.553318024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.654177904,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.755038023,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.855897903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857411.956758022,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.057569027,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.158428907,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.259289026,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.360148907,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.461009026,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.561868906,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.662728071,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.763587952,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.864448071,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857412.965307951,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.066106081,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.166965961,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.267826080,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.368685961,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.469546080,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.570405960,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.671266079,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.772125959,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.872986078,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857413.973845959,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.074650049,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.175509930,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.276370049,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.377229929,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.478089094,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.578948975,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.679809093,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.780668974,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.881529093,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857414.982388973,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.083193064,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.184052944,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.284913063,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.385772943,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.486633062,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.587492943,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.688353062,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.789212942,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.890073061,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857415.990932941,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.091737986,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.192598104,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.293457985,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.394316912,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.495177031,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.596036911,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.696897030,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.797756910,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.898617029,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857416.999476910,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.100281000,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.201141119,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.302000999,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.402861118,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.503720999,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.604581118,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.705440998,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
