selection_index,split,segment_id,scan_index,stamp,stage,candidate_id,converged,fitness,nn_median,nn_p90,nn_p95,lt0p5,lt1,lt2,delta_tx,delta_ty,delta_tz,delta_tnorm,delta_roll,delta_pitch,delta_yaw,delta_angle,d00,d01,d02,d10,d11,d12,d20,d21,d22
18,VALIDATION,4,1353,1517157355.54,B_BEST_AXIS,5,0,1.79769313486e+308,17.9186038971,22.8920465469,23.364849472,0,0,0,1.90967051594e-06,-1.28045449799e-08,6.43356614205e-07,2.01517075427e-06,179.999999995,-179.99999983,-179.99999997,0,1.00000000355,-4.72407321594e-11,-2.96350278551e-09,5.15052054825e-10,1.00000000128,8.86464582295e-11,5.27572101945e-10,-1.48444971593e-11,1.00000002957
19,VALIDATION,4,1243,1517157344.45,B_BEST_AXIS,5,1,0.0042380297964,49.7013378143,53.1090881348,53.6573343277,0.00484261501211,0.00484261501211,0.00484261501211,-9.54310083768,-16.583337986,-41.7809202651,45.9534892098,51.1851164954,176.483352534,-151.408003142,129.669786541,0.876396312943,-0.477668887922,0.0613385629217,-0.341935503916,-0.527494557269,0.777707741646,-0.339130428458,-0.702554646912,-0.625625766894
20,VALIDATION,5,1397,1517157359.98,B_BEST_AXIS,5,1,0.103377509289,0.100371461362,0.509663569927,0.676036867499,0.896907216495,0.975773195876,0.983505154639,1.65031890976,21.4459670577,-10.453637515,23.9150913199,80.4821215486,-0.639974491089,12.7529448499,81.2476868899,0.975272792359,-0.220735111358,-0.0111694619429,0.0257576468438,0.163708634377,-0.986173169698,0.219510563215,0.961498549045,0.165345148446
21,VALIDATION,5,1536,1517157374,B_BEST_AXIS,5,1,0.73950309971,37.4389095306,49.7433452606,53.1373945236,0.00282030620467,0.00765511684126,0.0088638195004,56.4100004016,20.1645678494,70.5775314356,92.5736781456,66.2081686221,-127.314470717,-114.689440709,155.578212415,0.253205457426,-0.550773952243,-0.795319863251,-0.0625636191715,-0.82971288443,0.554673224476,-0.965388894283,-0.0906887445821,-0.244545584533
22,VALIDATION,6,1840,1517157404.66,B_BEST_AXIS,5,1,0.174115516946,0.170972183347,0.601971077919,0.910240983963,0.874125874126,0.959146117041,0.986750092013,0.863929080423,16.4188650287,-1.42129295376,16.5028959866,84.8727020907,2.20379656476,-11.8488837355,85.3365721365,0.977972629026,0.205179723009,0.0384541747146,0.0191345915619,0.0953293267889,-0.995261632814,-0.20787399435,0.974075720331,0.0893027124927
23,VALIDATION,6,1943,1517157415.05,B_BEST_AXIS,5,1,0.540341188373,0.4393183887,1.31839799881,1.58467102051,0.546661460367,0.811011323702,0.97461928934,3.60323194648,15.997924099,-3.7370545603,16.8191091537,93.3930104005,-12.0575361934,-22.6794828475,98.3537404266,0.902322526335,0.377069033761,-0.208894234536,-0.169583956879,-0.135011975665,-0.976227201441,-0.396308761573,0.916295711882,-0.057879071657
24,VALIDATION,7,1953,1517157416.06,B_BEST_AXIS,5,1,0.0367670776634,0.0907728411257,0.275591477752,0.423482865095,0.971506635441,0.997267759563,1,3.2537607147,14.4380788052,3.2552481066,15.1539340968,94.6153794159,177.796544017,179.765366464,85.4121611838,0.999257757661,0.00409257012894,0.0384482959761,-0.0386525618894,0.0803096880878,0.996023780724,0.000988107645606,-0.996767135235,0.0804072612853
25,VALIDATION,7,2101,1517157430.98,B_BEST_AXIS,5,1,0.0181996591503,0.0989324189723,0.153229263425,0.199553705007,0.990916597853,1,1,1.32450224766,14.0879824754,0.528434118791,14.1599717178,2.82737474355,-0.305906863094,-10.5291948562,10.9111222118,0.983152363199,0.182734298365,-0.00533908035534,-0.182773528831,0.981919899271,-0.0493264313243,-0.00377124286412,0.0494710336578,0.998771711802
26,VALIDATION,8,2238,1517157444.8,B_BEST_AXIS,5,1,0.0164984692964,0.0876799859107,0.140980190039,0.190197829902,0.989762489762,0.999180999181,1,1.21207521076,10.4969661622,0.116699140328,10.5673574566,0.563062356928,-1.64236313786,-8.19408729849,8.38315593848,0.989385871451,0.142468187935,-0.0286607623604,-0.142798763305,0.989703544485,-0.00982309807904,0.0269660272787,0.0138114283399,0.999541056732
27,VALIDATION,8,2496,1517157470.82,B_BEST_AXIS,5,1,0.0246799099353,0.0881103500724,0.132945306599,0.21765325591,0.99459684123,0.996259351621,0.997921862012,0.651940750532,4.11547834505,-0.177864130047,4.17059041378,0.597387789972,-5.56928942523,-5.33273414113,7.75128502811,0.990973333164,0.0925008299132,-0.0970495973004,-0.0939420233523,0.995525155438,-0.0103769974224,0.0956555861912,0.0194004279609,0.995227256808
