sequence,frame,window,phase,relative_time_s,init_type,init_to_raw_translation_m,init_to_raw_rotation_deg,initial_translation_error_m,raw_endpoint_translation_error_m,translation_error_change_m,correction_ratio_translation,fitness,transformation_probability,iterations,converged
Corridor01,R6_0084,W1_3.068_5.590,PHASE1,3.3282,ONLINE_BASELINE,0.0137927,0.209345,0.327361,0.319982,-0.007379,0.0225408646723,0.47506,1.31709,1,1
Corridor01,R6_0084,W1_3.068_5.590,PHASE1,3.3282,ORACLE_RELATIVE,0.10658,1.93539,0,0.10658,0.10658,NA,0.256866,1.13358,2,1
Corridor01,R6_0084,W1_3.068_5.590,PHASE1,3.3282,PERFECT_INCREMENT,0.0211393,2.16471,0.324744,0.319484,-0.00526,0.0161973739315,0.428841,1.31375,5,1
Corridor01,R6_0085,W1_3.068_5.590,PHASE1,3.42906,ONLINE_BASELINE,0.0178618,0.311272,0.335269,0.335243,-2.6e-05,7.75496690716e-05,0.510532,1.28594,1,1
Corridor01,R6_0085,W1_3.068_5.590,PHASE1,3.42906,ORACLE_RELATIVE,0.0846106,0.330013,0,0.0846106,0.0846106,NA,0.295924,1.13753,2,1
Corridor01,R6_0085,W1_3.068_5.590,PHASE1,3.42906,PERFECT_INCREMENT,0.0174295,2.64821,0.33698,0.32786,-0.00912,0.0270639207075,0.481906,1.28318,3,1
Corridor01,R6_0086,W1_3.068_5.590,PHASE1,3.52992,ONLINE_BASELINE,0.0108124,0.479611,0.376895,0.371642,-0.005253,0.0139375688189,0.373057,1.29237,1,1
Corridor01,R6_0086,W1_3.068_5.590,PHASE1,3.52992,ORACLE_RELATIVE,0.085618,0.671305,0,0.085618,0.085618,NA,0.252015,1.14154,2,1
Corridor01,R6_0086,W1_3.068_5.590,PHASE1,3.52992,PERFECT_INCREMENT,0.0194348,0.265207,0.34675,0.363481,0.016731,-0.0482509012257,0.367599,1.29287,1,1
Corridor01,R6_0087,W1_3.068_5.590,PHASE1,3.63078,ONLINE_BASELINE,0.0283431,0.0795973,0.392837,0.365071,-0.027766,0.0706807149021,0.622618,1.28648,1,1
Corridor01,R6_0087,W1_3.068_5.590,PHASE1,3.63078,ORACLE_RELATIVE,0.0924898,0.323526,0,0.0924898,0.0924898,NA,0.35745,1.13971,2,1
Corridor01,R6_0087,W1_3.068_5.590,PHASE1,3.63078,PERFECT_INCREMENT,0.0260133,0.148568,0.383189,0.358104,-0.025085,0.0654637789707,0.631042,1.28798,1,1
Corridor01,R6_0088,W1_3.068_5.590,PHASE1,3.73164,ONLINE_BASELINE,0.0116742,0.369846,0.384039,0.385251,0.001212,-0.00315592947591,0.373394,1.31435,1,1
Corridor01,R6_0088,W1_3.068_5.590,PHASE1,3.73164,ORACLE_RELATIVE,0.120397,1.00899,0,0.120397,0.120397,NA,0.254456,1.13184,3,1
Corridor01,R6_0088,W1_3.068_5.590,PHASE1,3.73164,PERFECT_INCREMENT,0.010882,0.519331,0.375119,0.382883,0.007764,-0.0206974320149,0.363328,1.31394,1,1
Corridor01,R6_0089,W1_3.068_5.590,PHASE1,3.83243,ONLINE_BASELINE,0.018529,0.124262,0.391596,0.37435,-0.017246,0.0440402864176,0.408882,1.27469,1,1
Corridor01,R6_0089,W1_3.068_5.590,PHASE1,3.83243,ORACLE_RELATIVE,0.0840861,1.04863,0,0.0840861,0.0840861,NA,0.31841,1.13982,3,1
Corridor01,R6_0089,W1_3.068_5.590,PHASE1,3.83243,PERFECT_INCREMENT,0.0207965,0.269238,0.395858,0.375605,-0.020253,0.051162285466,0.426981,1.27102,1,1
Corridor01,R6_0090,W1_3.068_5.590,PHASE1,3.9333,ONLINE_BASELINE,0.0170097,0.390975,0.357696,0.374242,0.016546,-0.0462571569154,0.338203,1.28632,1,1
Corridor01,R6_0090,W1_3.068_5.590,PHASE1,3.9333,ORACLE_RELATIVE,0.369391,2.45436,0,0.369391,0.369391,NA,0.338791,1.28981,6,1
Corridor01,R6_0090,W1_3.068_5.590,PHASE1,3.9333,PERFECT_INCREMENT,0.0211299,2.04023,0.382851,0.36319,-0.019661,0.0513541821753,0.332816,1.28601,1,1
Corridor01,R6_0091,W1_3.068_5.590,PHASE1,4.03415,ONLINE_BASELINE,0.00741574,0.218963,0.362644,0.369438,0.006794,-0.0187346267965,0.403526,1.23911,1,1
Corridor01,R6_0091,W1_3.068_5.590,PHASE1,4.03415,ORACLE_RELATIVE,0.0626194,0.633285,0,0.0626194,0.0626194,NA,0.248106,1.08543,2,1
Corridor01,R6_0091,W1_3.068_5.590,PHASE1,4.03415,PERFECT_INCREMENT,0.0283968,1.35145,0.378893,0.394124,0.015231,-0.0401986840612,0.382895,1.23735,2,1
Corridor01,R6_0092,W1_3.068_5.590,PHASE1,4.13502,ONLINE_BASELINE,0.0507106,0.0771123,0.358211,0.403228,0.045017,-0.125671740957,0.418534,1.22471,2,1
Corridor01,R6_0092,W1_3.068_5.590,PHASE1,4.13502,ORACLE_RELATIVE,0.0614519,0.362638,0,0.0614519,0.0614519,NA,0.273406,1.0695,2,1
Corridor01,R6_0092,W1_3.068_5.590,PHASE1,4.13502,PERFECT_INCREMENT,0.0207659,0.212935,0.377901,0.395218,0.017317,-0.0458241708807,0.428406,1.22531,1,1
Corridor01,R6_0093,W1_3.068_5.590,PHASE1,4.23587,ONLINE_BASELINE,0.029447,0.395473,0.437304,0.409711,-0.027593,0.0630979821817,0.375081,1.19946,1,1
Corridor01,R6_0093,W1_3.068_5.590,PHASE1,4.23587,ORACLE_RELATIVE,0.0859584,0.80836,0,0.0859584,0.0859584,NA,0.237941,1.05799,2,1
Corridor01,R6_0093,W1_3.068_5.590,PHASE1,4.23587,PERFECT_INCREMENT,0.00895617,0.169889,0.411177,0.404812,-0.006365,0.0154799514564,0.364212,1.19886,1,1
Corridor01,R6_0094,W1_3.068_5.590,PHASE1,4.33674,ONLINE_BASELINE,0.0115698,0.275968,0.408952,0.401687,-0.007265,0.0177649210665,0.423534,1.18984,1,1
Corridor01,R6_0094,W1_3.068_5.590,PHASE1,4.33674,ORACLE_RELATIVE,0.0264211,0.591446,0,0.0264211,0.0264211,NA,0.243038,1.07052,1,1
Corridor01,R6_0094,W1_3.068_5.590,PHASE1,4.33674,PERFECT_INCREMENT,0.0241058,0.469229,0.418992,0.397897,-0.021095,0.0503470233322,0.46689,1.1831,1,1
Corridor01,R6_0095,W1_3.068_5.590,PHASE1,4.4376,ONLINE_BASELINE,0.0235537,0.184291,0.39517,0.400554,0.005384,-0.0136245160311,0.507029,1.1848,1,1
Corridor01,R6_0095,W1_3.068_5.590,PHASE1,4.4376,ORACLE_RELATIVE,0.0759234,0.458909,0,0.0759234,0.0759234,NA,0.268193,1.06351,2,1
Corridor01,R6_0095,W1_3.068_5.590,PHASE1,4.4376,PERFECT_INCREMENT,0.0216758,0.73653,0.409019,0.412187,0.003168,-0.00774536146243,0.468526,1.18067,1,1
Corridor01,R6_0096,W1_3.068_5.590,PHASE1,4.53846,ONLINE_BASELINE,0.0275296,0.181383,0.376254,0.39676,0.020506,-0.0545004172713,0.341256,1.16235,1,1
Corridor01,R6_0096,W1_3.068_5.590,PHASE1,4.53846,ORACLE_RELATIVE,0.0724445,1.42699,0,0.0724445,0.0724445,NA,0.24354,1.0383,2,1
Corridor01,R6_0096,W1_3.068_5.590,PHASE1,4.53846,PERFECT_INCREMENT,0.0235501,1.03482,0.409871,0.401503,-0.008368,0.0204161797248,0.364767,1.16253,1,1
Corridor01,R6_0097,W1_3.068_5.590,PHASE1,4.63932,ONLINE_BASELINE,0.0312191,0.0662201,0.402087,0.420178,0.018091,-0.0449927503252,0.333855,1.21625,1,1
Corridor01,R6_0097,W1_3.068_5.590,PHASE1,4.63932,ORACLE_RELATIVE,0.096374,1.38037,0,0.096374,0.096374,NA,0.236543,1.0424,2,1
Corridor01,R6_0097,W1_3.068_5.590,PHASE1,4.63932,PERFECT_INCREMENT,0.0541465,1.36077,0.402671,0.451351,0.04868,-0.120892738737,0.306664,1.21125,2,1
Corridor01,R6_0098,W1_3.068_5.590,PHASE1,4.74018,ONLINE_BASELINE,0.0230335,0.272004,0.429206,0.44501,0.015804,-0.0368214796624,0.352407,1.22123,1,1
Corridor01,R6_0098,W1_3.068_5.590,PHASE1,4.74018,ORACLE_RELATIVE,0.164039,1.5929,0,0.164039,0.164039,NA,0.27472,1.03657,3,1
Corridor01,R6_0098,W1_3.068_5.590,PHASE1,4.74018,PERFECT_INCREMENT,0.0279364,2.97048,0.427454,0.450825,0.023371,-0.0546748889939,0.350452,1.21616,5,1
Corridor01,R6_0099,W1_3.068_5.590,PHASE1,4.84097,ONLINE_BASELINE,0.0662284,1.2977,0.483555,0.417368,-0.066187,0.136875846594,0.32151,1.19637,2,1
